V1,V2,V3
1,0.995060332188851,pbe03008_Ribosome_biogenesis_in_eukaryotes,40
2,0.992909285843795,pbe00071_Fatty_acid_degradation,4
3,0.989903332482512,pbe00500_Starch_and_sucrose_metabolism,3
4,0.989615254008957,pbe03030_DNA_replication,29
5,0.98775284192453,pbe01230_Biosynthesis_of_amino_acids,25
6,0.987309640174113,pbe00750_Vitamin_B6_metabolism,3
7,0.984440249035445,pbe01210_2_Oxocarboxylic_acid_metabolism,4
8,0.982527820450186,pbe00630_Glyoxylate_and_dicarboxylate_metabolism,10
9,0.98194681340737,pbe03410_Base_excision_repair,16
10,0.97018727962077,pbe00970_Aminoacyl_tRNA_biosynthesis,37
11,0.962473561175028,pbe03430_Mismatch_repair,20
12,0.961750082453248,pbe00450_Selenocompound_metabolism,5
13,0.956096910311557,pbe03050_Proteasome,34
14,0.954341244559564,pbe00670_One_carbon_pool_by_folate,4
15,0.950892509138547,pbe01110_Biosynthesis_of_secondary_metabolites,106
16,0.948753836544882,pbe03013_RNA_transport,48
17,0.946365915767287,pbe01130_Biosynthesis_of_antibiotics,75
18,0.943734113168889,pbe04120_Ubiquitin_mediated_proteolysis,25
19,0.94350572807452,pbe00020_Citrate_cycle_TCA_cycle,17
20,0.938278089218296,pbe00330_Arginine_and_proline_metabolism,5
21,0.937317747522609,pbe03420_Nucleotide_excision_repair,31
22,0.936190554359002,pbe00030_Pentose_phosphate_pathway,12
23,0.934194306078312,pbe00010_Glycolysis_Gluconeogenesis,20
24,0.932425174958924,pbe01212_Fatty_acid_metabolism,15
25,0.931564766352372,pbe04146_Peroxisome,7
26,0.931264821047878,pbe01200_Carbon_metabolism,43
27,0.92560630985461,pbe04145_Phagosome,26
28,0.923435647310141,pbe03018_RNA_degradation,36
29,0.921939366433443,pbe00250_Alanine_aspartate_and_glutamate_metabolism,12
30,0.920262380118367,pbe00620_Pyruvate_metabolism,19
31,0.918671121997083,pbe00061_Fatty_acid_biosynthesis,10
32,0.917883713700193,pbe00910_Nitrogen_metabolism,5
33,0.913129901130609,pbe00730_Thiamine_metabolism,5
34,0.910788746007875,pbe00790_Folate_biosynthesis,7
35,0.910237653347135,pbe00280_Valine_leucine_and_isoleucine_degradation,7
36,0.909605328823684,pbe04130_SNARE_interactions_in_vesicular_transport,11
37,0.907582460116261,pbe00640_Propanoate_metabolism,11
38,0.90615780512994,pbe00190_Oxidative_phosphorylation,35
39,0.902970460730579,pbe03440_Homologous_recombination,14
40,0.902087784126796,pbe00220_Arginine_biosynthesis,6
41,0.899491912948899,pbe00270_Cysteine_and_methionine_metabolism,8
42,0.896223371451928,pbe03010_Ribosome,92
43,0.89295816964611,pbe00240_Pyrimidine_metabolism,52
44,0.89247799083596,pbe00230_Purine_metabolism,63
45,0.890338300526346,pbe01100_Metabolic_pathways,265
46,0.888100792823,pbe00900_Terpenoid_backbone_biosynthesis,10
47,0.8877066081148,pbe03015_mRNA_surveillance_pathway,24
48,0.87877775526681,pbe00480_Glutathione_metabolism,13
49,0.878005070800284,pbe00440_Phosphonate_and_phosphinate_metabolism,3
50,0.875711986073741,pbe00564_Glycerophospholipid_metabolism,19
51,0.875657340769024,pbe00561_Glycerolipid_metabolism,7
52,0.874914312359575,pbe04141_Protein_processing_in_endoplasmic_reticulum,44
53,0.874066520496957,pbe00051_Fructose_and_mannose_metabolism,9
54,0.872898739680005,pbe00562_Inositol_phosphate_metabolism,8
55,0.853362555128877,pbe00520_Amino_sugar_and_nucleotide_sugar_metabolism,11
56,0.849544524555162,pbe04070_Phosphatidylinositol_signaling_system,11
57,0.849084226077856,pbe04144_Endocytosis,27
58,0.847905336575793,pbe03060_Protein_export,16
59,0.847329770975345,pbe00260_Glycine_serine_and_threonine_metabolism,7
60,0.847224839360186,pbe03040_Spliceosome,85
61,0.825595043941445,pbe03020_RNA_polymerase,24
62,0.793529647196062,pbe00760_Nicotinate_and_nicotinamide_metabolism,4
